point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
15	pdxST	vanNH	13	16				pdxST
15	pdxST	vanNH	14	22				pdxST
15	pdxST	vanNH	15	88				pdxST
15	pdxST	vanNH	16	25	A			pdxST
15	pdxST	vanNH	17	5	G			pdxST
16	pdxST	vanNH	1	88	P			NA
16	pdxST	vanNH	2			89	PU	NA
16	pdxST	vanNH	3			91		NA
16	pdxST	vanNH	4			21		NA
16	pdxST	vanNH	5			8		NA
16	pdxST	vanNH	6			91		NA
16	pdxST	vanNH	7			13		NA
16	pdxST	vanNH	8			89		NA
16	pdxST	vanNH	9			19		NA
16	pdxST	vanNH	10			91		NA
16	pdxST	vanNH	11			21		NA
16	pdxST	vanNH	12			8		NA
16	pdxST	vanNH	13			21		NA
16	pdxST	vanNH	14			8		NA
16	pdxST	vanNH	15			72		NA
16	pdxST	vanNH	16			19		NA
16	pdxST	vanNH	17			91		NA
16	pdxST	vanNH	18			13	TD	NA
16	pdxST	vanNH	19	8	PU			NA
16	pdxST	vanNH	20	15				NA
16	pdxST	vanNH	21	16	L			NA
16	pdxST	vanNH	22			8	D	NA
17	vanNH	pdxST	1	8	P			pdxST
17	vanNH	pdxST	2			9	A	pdxST
17	vanNH	pdxST	3			2	LG	pdxST
18	pdxST	vanNH	1	88	OBP			vanNH
18	pdxST	vanNH	2			89	PU	vanNH
18	pdxST	vanNH	3			22		vanNH
18	pdxST	vanNH	4			21		vanNH
18	pdxST	vanNH	5			98		vanNH
18	pdxST	vanNH	6			72		vanNH
18	pdxST	vanNH	7			91		vanNH
18	pdxST	vanNH	8			89		vanNH
18	pdxST	vanNH	9			91		vanNH
18	pdxST	vanNH	10			98	A	vanNH
18	pdxST	vanNH	11			22	G	vanNH
19	vanNH	pdxST	1	81	P			pdxST
19	vanNH	pdxST	2			42		pdxST
19	vanNH	pdxST	3			9		pdxST
19	vanNH	pdxST	4			11		pdxST
19	vanNH	pdxST	5			2		pdxST
19	vanNH	pdxST	6			42		pdxST
19	vanNH	pdxST	7			9		pdxST
19	vanNH	pdxST	8			42		pdxST
19	vanNH	pdxST	9			9		pdxST
19	vanNH	pdxST	10			11		pdxST
19	vanNH	pdxST	11			8	L	pdxST
19	vanNH	pdxST	12			42		pdxST
19	vanNH	pdxST	13			8	A	pdxST
19	vanNH	pdxST	14			6	G	pdxST
20	pdxST	vanNH	1	7	P			pdxST
20	pdxST	vanNH	2			91		pdxST
20	pdxST	vanNH	3			89		pdxST
20	pdxST	vanNH	4			91		pdxST
20	pdxST	vanNH	5			98		pdxST
20	pdxST	vanNH	6			91		pdxST
20	pdxST	vanNH	7			22		pdxST
20	pdxST	vanNH	8			89		pdxST
20	pdxST	vanNH	9			91		pdxST
20	pdxST	vanNH	10	25	D			pdxST
20	pdxST	vanNH	11	7	PU			pdxST
20	pdxST	vanNH	12	15				pdxST
20	pdxST	vanNH	13	17				pdxST
20	pdxST	vanNH	14	22				pdxST
20	pdxST	vanNH	15	15				pdxST
20	pdxST	vanNH	16	4				pdxST
20	pdxST	vanNH	17	5				pdxST
20	pdxST	vanNH	18	15	A			pdxST
20	pdxST	vanNH	19	17	G			pdxST
21	pdxST	vanNH	1	7	P			vanNH
21	pdxST	vanNH	2			19		vanNH
21	pdxST	vanNH	3			89		vanNH
21	pdxST	vanNH	4			98		vanNH
21	pdxST	vanNH	5			21		vanNH
21	pdxST	vanNH	6			22		vanNH
21	pdxST	vanNH	7			72		vanNH
21	pdxST	vanNH	8			22		vanNH
21	pdxST	vanNH	9			19		vanNH
21	pdxST	vanNH	10			91		vanNH
21	pdxST	vanNH	11			21		vanNH
21	pdxST	vanNH	12			19		vanNH
21	pdxST	vanNH	13			89		vanNH
21	pdxST	vanNH	14			21		vanNH
21	pdxST	vanNH	15			89		vanNH
21	pdxST	vanNH	16			91	A	vanNH
21	pdxST	vanNH	17			19	G	vanNH
22	vanNH	pdxST	1	18	P			vanNH
22	vanNH	pdxST	2			11		vanNH
22	vanNH	pdxST	3			9		vanNH
22	vanNH	pdxST	4			11		vanNH
22	vanNH	pdxST	5			9		vanNH
22	vanNH	pdxST	6			11		vanNH
22	vanNH	pdxST	7			6		vanNH
22	vanNH	pdxST	8			11		vanNH
22	vanNH	pdxST	9			6		vanNH
22	vanNH	pdxST	10			11		vanNH
22	vanNH	pdxST	11	24	PUA			vanNH
22	vanNH	pdxST	12			9	F	vanNH
22	vanNH	pdxST	13	39	G			vanNH
23	vanNH	pdxST	1	8	P			pdxST
23	vanNH	pdxST	2			73		pdxST
23	vanNH	pdxST	3			9		pdxST
23	vanNH	pdxST	4			16		pdxST
23	vanNH	pdxST	5			73		pdxST
23	vanNH	pdxST	6			2	L	pdxST
23	vanNH	pdxST	7	39	F			pdxST
23	vanNH	pdxST	8			7		pdxST
23	vanNH	pdxST	9			8		pdxST
23	vanNH	pdxST	10			11		pdxST
23	vanNH	pdxST	11			7		pdxST
23	vanNH	pdxST	12			8		pdxST
23	vanNH	pdxST	13			11		pdxST
23	vanNH	pdxST	14			7		pdxST
23	vanNH	pdxST	15			8		pdxST
23	vanNH	pdxST	16			7		pdxST
23	vanNH	pdxST	17			8		pdxST
23	vanNH	pdxST	18			6	A	pdxST
23	vanNH	pdxST	19	18	F			pdxST
23	vanNH	pdxST	20			16	G	pdxST
24	pdxST	vanNH	1	7	P			vanNH
24	pdxST	vanNH	2			89	PU	vanNH
24	pdxST	vanNH	3			19		vanNH
24	pdxST	vanNH	4			89		vanNH
24	pdxST	vanNH	5			91		vanNH
24	pdxST	vanNH	6			19		vanNH
24	pdxST	vanNH	7			98		vanNH
24	pdxST	vanNH	8			21		vanNH
24	pdxST	vanNH	9			10	A	vanNH
24	pdxST	vanNH	10			91	G	vanNH
25	vanNH	pdxST	1	81	P			vanNH
25	vanNH	pdxST	2			42		vanNH
25	vanNH	pdxST	3			11		vanNH
25	vanNH	pdxST	4			73		vanNH
25	vanNH	pdxST	5			11		vanNH
25	vanNH	pdxST	6	8	PUA			vanNH
25	vanNH	pdxST	7	45	G			vanNH
26	vanNH	pdxST	1	81	P			pdxST
26	vanNH	pdxST	2			42		pdxST
26	vanNH	pdxST	3			7		pdxST
26	vanNH	pdxST	4			73		pdxST
26	vanNH	pdxST	5			7		pdxST
26	vanNH	pdxST	6			6		pdxST
26	vanNH	pdxST	7			73		pdxST
26	vanNH	pdxST	8			2		pdxST
26	vanNH	pdxST	9			6		pdxST
26	vanNH	pdxST	10			7		pdxST
26	vanNH	pdxST	11			8		pdxST
26	vanNH	pdxST	12			2		pdxST
26	vanNH	pdxST	13			73		pdxST
26	vanNH	pdxST	14			8		pdxST
26	vanNH	pdxST	15			7	A	pdxST
26	vanNH	pdxST	16			42	G	pdxST
27	pdxST	vanNH	1	88	P			vanNH
27	pdxST	vanNH	2			19		vanNH
27	pdxST	vanNH	3			89		vanNH
27	pdxST	vanNH	4			10		vanNH
27	pdxST	vanNH	5			21		vanNH
27	pdxST	vanNH	6			98		vanNH
27	pdxST	vanNH	7			21		vanNH
27	pdxST	vanNH	8			89		vanNH
27	pdxST	vanNH	9			10		vanNH
27	pdxST	vanNH	10			89		vanNH
27	pdxST	vanNH	11			91		vanNH
27	pdxST	vanNH	12			98	A	vanNH
27	pdxST	vanNH	13			10	G	vanNH
28	vanNH	pdxST	1	18	P			pdxST
28	vanNH	pdxST	2			73		pdxST
28	vanNH	pdxST	3			9		pdxST
28	vanNH	pdxST	4			42		pdxST
28	vanNH	pdxST	5			9		pdxST
28	vanNH	pdxST	6			73		pdxST
28	vanNH	pdxST	7			9		pdxST
28	vanNH	pdxST	8	24	F			pdxST
28	vanNH	pdxST	9			73		pdxST
28	vanNH	pdxST	10			6		pdxST
28	vanNH	pdxST	11			73		pdxST
28	vanNH	pdxST	12			42	L	pdxST
28	vanNH	pdxST	13			16	TO	pdxST
28	vanNH	pdxST	14			7	PUA	pdxST
28	vanNH	pdxST	15			42	G	pdxST
29	pdxST	vanNH	1	88	P			NA
29	pdxST	vanNH	2			89		NA
29	pdxST	vanNH	3			19	VST	NA
29	pdxST	vanNH	4	8	PU			NA
29	pdxST	vanNH	5	88				NA
29	pdxST	vanNH	6			89	D	NA
29	pdxST	vanNH	7			89	PU	NA
29	pdxST	vanNH	8			22		NA
29	pdxST	vanNH	9			91	TT	NA
29	pdxST	vanNH	10	17	PU			NA
30	pdxST	vanNH	1	88	P			vanNH
30	pdxST	vanNH	2			19		vanNH
30	pdxST	vanNH	3			91		vanNH
30	pdxST	vanNH	4			21		vanNH
30	pdxST	vanNH	5			10		vanNH
30	pdxST	vanNH	6			98		vanNH
30	pdxST	vanNH	7	5	D			vanNH
30	pdxST	vanNH	8	22	PU			vanNH
30	pdxST	vanNH	9	88				vanNH
30	pdxST	vanNH	10	5	VTT			vanNH
30	pdxST	vanNH	11			91	PU	vanNH
30	pdxST	vanNH	12			19		vanNH
30	pdxST	vanNH	13			89	A	vanNH
30	pdxST	vanNH	14			98	G	vanNH
31	vanNH	pdxST	1	33	P			vanNH
31	vanNH	pdxST	2			42	PU	vanNH
31	vanNH	pdxST	3			9		vanNH
31	vanNH	pdxST	4			42	VTT	vanNH
31	vanNH	pdxST	5	33	PU			vanNH
31	vanNH	pdxST	6	45				vanNH
31	vanNH	pdxST	7	8				vanNH
31	vanNH	pdxST	8	24	A			vanNH
31	vanNH	pdxST	9	39	G			vanNH
32	vanNH	pdxST	1	33	OBP			vanNH
32	vanNH	pdxST	2			9	PU	vanNH
32	vanNH	pdxST	3			6		vanNH
32	vanNH	pdxST	4			7		vanNH
32	vanNH	pdxST	5			6		vanNH
32	vanNH	pdxST	6			2	TT	vanNH
32	vanNH	pdxST	7	27	PU			vanNH
32	vanNH	pdxST	8	81	A			vanNH
32	vanNH	pdxST	9			4	F	vanNH
32	vanNH	pdxST	10	24	G			vanNH
33	vanNH	pdxST	1	33	P			vanNH
33	vanNH	pdxST	2			7		vanNH
33	vanNH	pdxST	3			73		vanNH
33	vanNH	pdxST	4			8		vanNH
33	vanNH	pdxST	5			7		vanNH
33	vanNH	pdxST	6	4	F			vanNH
33	vanNH	pdxST	7			8		vanNH
33	vanNH	pdxST	8			42		vanNH
33	vanNH	pdxST	9	13	D			vanNH
33	vanNH	pdxST	10	75	PU			vanNH
33	vanNH	pdxST	11			8	D	vanNH
33	vanNH	pdxST	12			8	PU	vanNH
33	vanNH	pdxST	13			8	F	vanNH
33	vanNH	pdxST	14			73		vanNH
33	vanNH	pdxST	15			7		vanNH
33	vanNH	pdxST	16			73		vanNH
33	vanNH	pdxST	17			6		vanNH
33	vanNH	pdxST	18			16		vanNH
33	vanNH	pdxST	19			6		vanNH
33	vanNH	pdxST	20			7		vanNH
33	vanNH	pdxST	21			73	VTT	vanNH
33	vanNH	pdxST	22		TO			vanNH
33	vanNH	pdxST	23	91	PUA			vanNH
33	vanNH	pdxST	24	22	G			vanNH
34	vanNH	pdxST	1	81	P			pdxST
34	vanNH	pdxST	2			42		pdxST
34	vanNH	pdxST	3			9		pdxST
34	vanNH	pdxST	4			73		pdxST
34	vanNH	pdxST	5			6		pdxST
34	vanNH	pdxST	6			7		pdxST
34	vanNH	pdxST	7			6		pdxST
34	vanNH	pdxST	8			7		pdxST
34	vanNH	pdxST	9			6		pdxST
34	vanNH	pdxST	10			9		pdxST
34	vanNH	pdxST	11			7		pdxST
34	vanNH	pdxST	12			6		pdxST
34	vanNH	pdxST	13			7		pdxST
34	vanNH	pdxST	14			88		pdxST
34	vanNH	pdxST	15			73		pdxST
34	vanNH	pdxST	16			7		pdxST
34	vanNH	pdxST	17			42		pdxST
34	vanNH	pdxST	18			7		pdxST
34	vanNH	pdxST	19			2		pdxST
34	vanNH	pdxST	20			7		pdxST
34	vanNH	pdxST	21			6		pdxST
34	vanNH	pdxST	22			7		pdxST
34	vanNH	pdxST	23			9		pdxST
34	vanNH	pdxST	24			7		pdxST
34	vanNH	pdxST	25			42		pdxST
34	vanNH	pdxST	26	8	F			pdxST
34	vanNH	pdxST	27	24	SO			pdxST
34	vanNH	pdxST	28	75	SI			pdxST
34	vanNH	pdxST	29			42	PU	pdxST
34	vanNH	pdxST	30			6		pdxST
34	vanNH	pdxST	31			88	A	pdxST
34	vanNH	pdxST	32			9	G	pdxST
35	pdxST	vanNH	1	88	P			pdxST
35	pdxST	vanNH	2			89		pdxST
35	pdxST	vanNH	3			19		pdxST
35	pdxST	vanNH	4			22		pdxST
35	pdxST	vanNH	5			10		pdxST
35	pdxST	vanNH	6			89		pdxST
35	pdxST	vanNH	7			91		pdxST
35	pdxST	vanNH	8			98		pdxST
35	pdxST	vanNH	9	5	D			pdxST
35	pdxST	vanNH	10	8	PU			pdxST
35	pdxST	vanNH	11	88				pdxST
35	pdxST	vanNH	12	4				pdxST
35	pdxST	vanNH	13	17				pdxST
35	pdxST	vanNH	14	8	A			pdxST
35	pdxST	vanNH	15	4	LG			pdxST
36	pdxST	vanNH	1	7	P			vanNH
36	pdxST	vanNH	2			89		vanNH
36	pdxST	vanNH	3			91		vanNH
36	pdxST	vanNH	4			22		vanNH
36	pdxST	vanNH	5			21		vanNH
36	pdxST	vanNH	6			91		vanNH
36	pdxST	vanNH	7			19		vanNH
36	pdxST	vanNH	8			98		vanNH
36	pdxST	vanNH	9			21		vanNH
36	pdxST	vanNH	10			19		vanNH
36	pdxST	vanNH	11			91		vanNH
36	pdxST	vanNH	12			22		vanNH
36	pdxST	vanNH	13			21		vanNH
36	pdxST	vanNH	14			91	A	vanNH
36	pdxST	vanNH	15	9	F			vanNH
36	pdxST	vanNH	16			98	G	vanNH
37	vanNH	pdxST	1	33	OBP			pdxST
37	vanNH	pdxST	2			88	PU	pdxST
37	vanNH	pdxST	3			7		pdxST
37	vanNH	pdxST	4			88		pdxST
37	vanNH	pdxST	5			6		pdxST
37	vanNH	pdxST	6			88		pdxST
37	vanNH	pdxST	7			73		pdxST
37	vanNH	pdxST	8			2	L	pdxST
37	vanNH	pdxST	9			7		pdxST
37	vanNH	pdxST	10			6		pdxST
37	vanNH	pdxST	11			73	A	pdxST
37	vanNH	pdxST	12			2	G	pdxST
38	pdxST	vanNH	1	88	P			pdxST
38	pdxST	vanNH	2			89		pdxST
38	pdxST	vanNH	3			91		pdxST
38	pdxST	vanNH	4			21		pdxST
38	pdxST	vanNH	5	5	D			pdxST
38	pdxST	vanNH	6	17	PU			pdxST
38	pdxST	vanNH	7	17	TO			pdxST
38	pdxST	vanNH	8	9	PU			pdxST
38	pdxST	vanNH	9	2				pdxST
38	pdxST	vanNH	10	11				pdxST
38	pdxST	vanNH	11	6				pdxST
38	pdxST	vanNH	12	11				pdxST
38	pdxST	vanNH	13	6				pdxST
38	pdxST	vanNH	14	16				pdxST
38	pdxST	vanNH	15	11				pdxST
38	pdxST	vanNH	16	7				pdxST
38	pdxST	vanNH	17	6				pdxST
38	pdxST	vanNH	18	42				pdxST
38	pdxST	vanNH	19	11	A			pdxST
38	pdxST	vanNH	20	2	LG			pdxST
39	pdxST	vanNH	1	88	P			NA
39	pdxST	vanNH	2			19		NA
39	pdxST	vanNH	3			91		NA
39	pdxST	vanNH	4			10		NA
39	pdxST	vanNH	5	5	D			NA
