point	event	pullNum	pullCode	recvNum	recvCode
19	7			24	
19	8			2	L
19	9			2	VTT
19	10	16	PU		
19	11	21	L		
19	12	46	G		
20	1	11	P		
20	2			10	PU
20	3			11	
20	4	14	PU		
20	5	40			
20	6	25			
20	7	2	LG		
21	1	46	P		
21	2			24	PU
21	3			21	
21	4			7	
21	5	16	PU		
21	6	85			
21	7	10			
21	8	1			
21	9			7	PU
21	10	1	D		
21	11	16	PU		
21	12			24	PU
21	13			21	
21	14			10	
21	15			7	
21	16			2	
21	17			7	
21	18			24	
21	19			42	
21	20			2	TD
21	21	16	PU		
21	22	1	LG		
22	1	23	P		
22	2			10	PU
22	3			24	
22	4			16	
22	5			6	
22	6	24	D		
22	7	13	PU		
22	8	40	LG		
23	1	11	P		
23	2			9	PU
23	3			10	
23	4			11	
23	5			7	
23	6			11	
23	7			10	
23	8			11	
23	9			10	
23	10			9	
23	11			10	
23	12			7	
23	13			11	
23	14	9	D		
23	15	17	PU		
23	16			11	PU
23	17			7	
23	18			10	
23	19			9	
23	20			10	
23	21			11	
23	22			10	
23	23			7	
23	24			11	
23	25			7	
23	26			10	
23	27			11	
23	28			9	
23	29			7	
23	30			2	
23	31			11	
23	32			10	
23	33			42	LG
24	1	8	P		
24	2			57	PU
24	3			8	
24	4			57	
24	5			34	
24	6			23	
24	7			88	
24	8			23	
24	9			8	
24	10			23	
24	11			40	
24	12			88	
24	13			23	
24	14			88	
24	15			34	
24	16			88	
24	17	21	PU		
24	18	22			
24	19	4	LG		
25	1	8	P		
25	2			88	PU
25	3			5	
25	4			23	
25	5			40	
25	6			24	LG
26	1	46	P		
26	2			7	PU
26	3			42	
26	4	10	F		
26	5			16	
26	6	16	F		
26	7	16	D		
26	8	21	PU		
26	9			42	FB
26	10			7	PU
26	11			24	
26	12			42	
26	13			7	
26	14			42	
26	15	1	PU		
27	1	8	P		
27	2			57	PU
27	3			8	
27	4			34	
27	5	21	PU		
27	6	8			
27	7	7	L		
27	8	6			
27	9	5	G		
28	1	8	P		
28	2			5	PU
28	3			40	
28	4	42	PU		
28	5	8			
28	6	16			
28	7	42			
28	8	7			
28	9	24			
28	10	7			
28	11	10			
28	12	7			
28	13	24			
28	14	16			
28	15	24			
28	16	7	LG		
29	1	8	P		
29	2			5	PU
29	3			34	
29	4			88	
29	5			5	
29	6			88	
29	7			34	
29	8			23	TD
29	9	21	PU		
29	10	8			
29	11	22	G		
30	1	7	P		
30	2			16	PU
30	3			21	L
30	4			1	G
31	1	46	P		
31	2			7	PU
31	3			21	
31	4	12	PU		
31	5	12	VTT		
31	6			21	PU
31	7			8	G
32	1	7	P		
32	2			13	PU
32	3	7	PU		
32	4	10			
32	5	7			
32	6	24			
32	7	17	TD		
32	8			34	PU
32	9			40	
32	10			13	LG
33	1	23	P		
33	2			9	PU
33	3			21	
33	4			42	
33	5			2	
33	6			9	
33	7			21	
33	8			6	
33	9	23	F		
33	10			21	
33	11			7	G
34	1	8	P		
34	2			5	PU
34	3			34	
34	4			24	
34	5			23	
34	6			40	
34	7			23	
34	8	6	D		
34	9	6			
34	10	7			
34	11	8			
34	12	42			
34	13	6			
34	14	8			
34	15	7			
34	16	42			
34	17	17			
34	18	42			
34	19	7	TD		
34	20			40	PU
34	21			34	
34	22			13	
34	23			40	
34	24			88	
34	25			5	
34	26			40	
34	27			13	VST
34	28	8	TO		
34	29	24	PU		
34	30	21			
34	31			1	F
34	32	8			
34	33	11			
34	34	8			
34	35	21			
