game	poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
2014-04-12_nykRM-at-bosWC	48	1	20	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	3	4	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	4	5	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-17	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	5	6	ao	0	O-CTH	bosWC-17		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	6	7	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	7	8	ao	0	O-CTH	bosWC-21		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	8	9	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	48	1	20	9	10	ao	0	O-CTH	bosWC-13		O-G	bosWC-77	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	2	3	ao	0	O-PU	nykRM-6		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	3	4	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	4	5	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	5	6	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	6	7	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	7	8	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	8	9	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	9	10	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	10	11	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	49	1	21	11	11	an	-1	O-CTH	nykRM-19		NA	nykRM-19	TRUE	taway
2014-04-12_nykRM-at-bosWC	50	2	21	12	13	ao	0	O-PU	bosWC-12		O-CTH	bosWC-10	TRUE	compl
2014-04-12_nykRM-at-bosWC	50	2	21	13	14	ao	0	O-CTH	bosWC-10		O-CTH	bosWC-12	TRUE	compl
2014-04-12_nykRM-at-bosWC	50	2	21	14	15	ao	0	O-CTH	bosWC-12		O-CTH	bosWC-43	TRUE	compl
2014-04-12_nykRM-at-bosWC	50	2	21	15	16	ao	0	O-CTH	bosWC-43		O-CTH	bosWC-29	TRUE	compl
2014-04-12_nykRM-at-bosWC	50	2	21	16	17	ao	0	O-CTH	bosWC-29		O-CTH	bosWC-12	TRUE	compl
2014-04-12_nykRM-at-bosWC	50	2	21	17	18	ao	0	O-CTH	bosWC-12		O-CTH	bosWC-27	TRUE	compl
2014-04-12_nykRM-at-bosWC	50	2	21	18	19	ao	0	O-CTH	bosWC-27		D-D	nykRM-41	TRUE	defd
