game	period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
2014-04-12_vanNH-at-pdxST	3	32	pdxST	24	59	3	vanNH	vanNH	22	G	14	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	33	vanNH	8	60	1	pdxST	pdxST	13	G	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	34	pdxST	6	61	1	vanNH	vanNH	89	TA	6	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	34	pdxST	15	62	2	pdxST	pdxST	42	G	9	TRUE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	35	pdxST	5	63	1	vanNH	vanNH	98	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	35	pdxST	10	64	2	pdxST	pdxST	88	VST	5	FALSE	FALSE	NA	d_line	VST	off -
2014-04-12_vanNH-at-pdxST	3	35	pdxST	12	65	3	vanNH	vanNH	75	G	2	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	36	vanNH	10	66	1	pdxST	pdxST	42	eop	10	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	4	37	pdxST	14	67	1	vanNH	vanNH	72	G	14	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	38	vanNH	7	68	1	pdxST	vanNH	8	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	4	38	vanNH	22	69	2	vanNH	vanNH	45	G	15	TRUE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	4	39	vanNH	8	70	1	pdxST	pdxST	13	LG	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	40	pdxST	7	71	1	vanNH	vanNH	72	G	7	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	41	vanNH	38	72	1	pdxST	pdxST	10	G	38	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	42	pdxST	5	73	1	vanNH	vanNH	10	LG	5	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	43	vanNH	14	74	1	pdxST	vanNH	33	D	14	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	4	43	vanNH	19	75	2	vanNH	vanNH	8	TA	5	FALSE	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	24	76	3	pdxST	pdxST	13	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	33	77	4	vanNH	vanNH	98	TD	9	FALSE	FALSE	NA	d_line	TD	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	35	78	5	pdxST	pdxST	17	LG	2	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	44	pdxST	7	79	1	vanNH	vanNH	22	G	7	FALSE	TRUE	vanNH	o_line	G	G
