point	event	pull_pnum	pull_code	recv_pnum	recv_code
42	4			45	
42	5	98	D		
42	6	7	PU		
42	7	98			
42	8	7			
42	9			45	PU
42	10	98	F		
42	11			12	PU
42	12			1	
42	13			14	
42	14			12	
42	15			1	
42	16			6	
42	17			78	
42	18			6	
42	19	42	PU		
42	20	29			
42	21	98			
42	22	29			
42	23	7			
42	24	10			
42	25	22			
42	26	7			
42	27	98	G		
43	1	42	P		
43	2			47	PU
43	3			11	
43	4			47	
43	5			11	
43	6			25	
43	7			90	
43	8			25	
43	9			46	
43	10			11	
43	11			13	
43	12			25	
43	13			90	G
44	1	41	P		
44	2			6	PU
44	3			0	
44	4			3	
44	5			24	G
45	1	42	P		
45	2			90	PU
45	3			11	
45	4			25	
45	5			11	
45	6			46	
45	7			90	
45	8			13	
45	9			10	
45	10			46	G
46	1	41	P		
46	2			0	PU
46	3			27	
46	4			24	
46	5			3	
46	6	32	PU		
46	7	41			
46	8	1			
46	9	88	G		
47	1	41	P		
47	2			1	PU
47	3			6	
47	4			1	
47	5			0	
47	6			1	
47	7			0	
47	8			60	
47	9			0	
47	10	45	PU		
47	11			60	D
47	12			0	TO
47	13			27	PU
47	14			18	
47	15	66	F		
47	16			29	G
48	1	98	P		
48	2			49	PU
48	3			47	
48	4			49	
48	5			47	
48	6			6	
48	7			40	
48	8			47	
48	9			46	
48	10			47	
48	11			78	
48	12	29	PU		
48	13	98			
48	14	29			
48	15	4			
48	16	29			
48	17	18	TD		
48	18			49	PU
48	19	4	D		
48	20	29	PU		
48	21	98			
48	22	29			
48	23	98			
48	24	29			
