point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
41	seaRM	vanNH	20	20				seaRM
41	seaRM	vanNH	21	4				seaRM
41	seaRM	vanNH	22	20				seaRM
41	seaRM	vanNH	23	4				seaRM
41	seaRM	vanNH	24	20	A			seaRM
41	seaRM	vanNH	25	99	LG			seaRM
42	seaRM	vanNH	1	29	P			vanNH
42	seaRM	vanNH	2			75		vanNH
42	seaRM	vanNH	3			89		vanNH
42	seaRM	vanNH	4			75		vanNH
42	seaRM	vanNH	5			8		vanNH
42	seaRM	vanNH	6			19		vanNH
42	seaRM	vanNH	7			89		vanNH
42	seaRM	vanNH	8			22		vanNH
42	seaRM	vanNH	9			8		vanNH
42	seaRM	vanNH	10			22		vanNH
42	seaRM	vanNH	11			75		vanNH
42	seaRM	vanNH	12			89		vanNH
42	seaRM	vanNH	13			75		vanNH
42	seaRM	vanNH	14			22	A	vanNH
42	seaRM	vanNH	15			8	G	vanNH
43	vanNH	seaRM	1	81	P			seaRM
43	vanNH	seaRM	2			14		seaRM
43	vanNH	seaRM	3			20		seaRM
43	vanNH	seaRM	4			14		seaRM
43	vanNH	seaRM	5			20		seaRM
43	vanNH	seaRM	6			48		seaRM
43	vanNH	seaRM	7			17		seaRM
43	vanNH	seaRM	8	81	PU			seaRM
43	vanNH	seaRM	9	7				seaRM
43	vanNH	seaRM	10	27				seaRM
43	vanNH	seaRM	11	14				seaRM
43	vanNH	seaRM	12			20	PU	seaRM
43	vanNH	seaRM	13			25	A	seaRM
43	vanNH	seaRM	14			48	LG	seaRM
44	seaRM	vanNH	1	4	P			vanNH
44	seaRM	vanNH	2			19		vanNH
44	seaRM	vanNH	3			5		vanNH
44	seaRM	vanNH	4			19		vanNH
44	seaRM	vanNH	5			5		vanNH
44	seaRM	vanNH	6	7	F			vanNH
44	seaRM	vanNH	7			72	LA	vanNH
44	seaRM	vanNH	8			98	G	vanNH
45	vanNH	seaRM	1	33	P			seaRM
45	vanNH	seaRM	2			14		seaRM
45	vanNH	seaRM	3			20		seaRM
45	vanNH	seaRM	4			6		seaRM
45	vanNH	seaRM	5			8	L	seaRM
45	vanNH	seaRM	6			25	A	seaRM
45	vanNH	seaRM	7			48	G	seaRM
46	seaRM	vanNH	1	29	P			vanNH
46	seaRM	vanNH	2			5	PU	vanNH
46	seaRM	vanNH	3			21		vanNH
46	seaRM	vanNH	4			5		vanNH
46	seaRM	vanNH	5			89		vanNH
46	seaRM	vanNH	6			72		vanNH
46	seaRM	vanNH	7			98	LA	vanNH
46	seaRM	vanNH	8			19	G	vanNH
47	vanNH	seaRM	1	81	P			vanNH
47	vanNH	seaRM	2			1		vanNH
47	vanNH	seaRM	3			20		vanNH
47	vanNH	seaRM	4			6		vanNH
47	vanNH	seaRM	5			20		vanNH
47	vanNH	seaRM	6	4	D			vanNH
47	vanNH	seaRM	7	45	PU			vanNH
47	vanNH	seaRM	8	24				vanNH
47	vanNH	seaRM	9	45				vanNH
47	vanNH	seaRM	10	81	A			vanNH
47	vanNH	seaRM	11	27	G			vanNH
48	vanNH	seaRM	1	18	P			seaRM
48	vanNH	seaRM	2			20		seaRM
48	vanNH	seaRM	3			6		seaRM
48	vanNH	seaRM	4			20		seaRM
48	vanNH	seaRM	5			14		seaRM
48	vanNH	seaRM	6			99		seaRM
48	vanNH	seaRM	7			14		seaRM
48	vanNH	seaRM	8			17		seaRM
48	vanNH	seaRM	9			20		seaRM
48	vanNH	seaRM	10			14		seaRM
48	vanNH	seaRM	11			6		seaRM
48	vanNH	seaRM	12			99		seaRM
48	vanNH	seaRM	13			14		seaRM
48	vanNH	seaRM	14			20	A	seaRM
48	vanNH	seaRM	15			48	G	seaRM
49	seaRM	vanNH	1	29	P			vanNH
49	seaRM	vanNH	2			91	PU	vanNH
49	seaRM	vanNH	3			10		vanNH
49	seaRM	vanNH	4			21	A	vanNH
49	seaRM	vanNH	5			72	G	vanNH
50	vanNH	seaRM	1	33	P			seaRM
50	vanNH	seaRM	2			14		seaRM
50	vanNH	seaRM	3			1	A	seaRM
50	vanNH	seaRM	4			6	LG	seaRM
51	seaRM	vanNH	1	24	OBP			vanNH
51	seaRM	vanNH	2			91	PU	vanNH
51	seaRM	vanNH	3			5		vanNH
51	seaRM	vanNH	4			91		vanNH
51	seaRM	vanNH	5	51	F			vanNH
51	seaRM	vanNH	6			10		vanNH
51	seaRM	vanNH	7			22		vanNH
51	seaRM	vanNH	8			5		vanNH
51	seaRM	vanNH	9			91	A	vanNH
51	seaRM	vanNH	10			22	G	vanNH
52	vanNH	seaRM	1	33	P			seaRM
52	vanNH	seaRM	2			17		seaRM
52	vanNH	seaRM	3			1		seaRM
52	vanNH	seaRM	4			99		seaRM
52	vanNH	seaRM	5			6		seaRM
52	vanNH	seaRM	6	18	PU			seaRM
52	vanNH	seaRM	7	18	VTT			seaRM
