game	period	point	pull_team	poss_abs	n_poss	n_events	poss_team	pl_team	pl_pnum	pl_code	huck	score	scor_team	who	a_code	b_code
2014-05-10_seaRM-at-vanNH	1	10	vanNH	20	1	6	seaRM	seaRM	48	G	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	1	11	seaRM	21	1	12	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	1	12	vanNH	22	1	4	seaRM	vanNH	8	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-05-10_seaRM-at-vanNH	2	13	vanNH	23	1	16	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	14	seaRM	24	1	6	vanNH	vanNH	22	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	15	vanNH	26	2	6	vanNH	vanNH	14	G	FALSE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	2	16	vanNH	28	2	19	vanNH	vanNH	37	G	TRUE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	2	17	vanNH	29	1	11	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	18	seaRM	30	1	6	vanNH	vanNH	91	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	19	vanNH	33	3	15	seaRM	seaRM	99	G	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	20	seaRM	36	3	19	vanNH	vanNH	72	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	21	vanNH	37	1	6	seaRM	seaRM	8	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	22	seaRM	38	1	9	vanNH	vanNH	21	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	23	vanNH	39	1	14	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	24	seaRM	42	3	29	vanNH	vanNH	72	G	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	2	25	vanNH	44	2	10	vanNH	vanNH	45	eop	FALSE	FALSE	NA	d_line	eop	eop
2014-05-10_seaRM-at-vanNH	3	26	seaRM	46	2	18	seaRM	seaRM	15	G	TRUE	TRUE	seaRM	d_line	G	G
2014-05-10_seaRM-at-vanNH	3	27	seaRM	47	1	7	vanNH	vanNH	13	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	28	vanNH	48	1	16	seaRM	seaRM	48	G	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	29	seaRM	49	1	6	vanNH	vanNH	98	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	30	vanNH	50	1	9	seaRM	seaRM	6	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	31	seaRM	53	3	22	vanNH	vanNH	4	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	32	vanNH	54	1	4	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	33	seaRM	55	1	12	vanNH	vanNH	22	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	34	vanNH	56	1	8	seaRM	seaRM	99	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	35	seaRM	57	1	6	vanNH	vanNH	98	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	3	36	vanNH	59	2	10	vanNH	vanNH	4	G	TRUE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	3	37	vanNH	61	2	14	vanNH	vanNH	10	G	FALSE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	3	38	vanNH	63	2	12	vanNH	vanNH	27	G	FALSE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	3	39	vanNH	69	6	27	vanNH	vanNH	72	G	FALSE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	4	40	vanNH	70	1	11	seaRM	seaRM	51	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	41	seaRM	72	2	25	seaRM	seaRM	99	LG	TRUE	TRUE	seaRM	d_line	G	G
2014-05-10_seaRM-at-vanNH	4	42	seaRM	73	1	15	vanNH	vanNH	8	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	43	vanNH	76	3	14	seaRM	seaRM	48	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	44	seaRM	77	1	8	vanNH	vanNH	98	G	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	45	vanNH	78	1	7	seaRM	seaRM	48	G	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	46	seaRM	79	1	8	vanNH	vanNH	19	G	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	47	vanNH	81	2	11	vanNH	vanNH	27	G	FALSE	TRUE	vanNH	d_line	G	G
2014-05-10_seaRM-at-vanNH	4	48	vanNH	82	1	15	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	49	seaRM	83	1	5	vanNH	vanNH	72	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	50	vanNH	84	1	4	seaRM	seaRM	6	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	51	seaRM	85	1	10	vanNH	vanNH	22	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	52	vanNH	90	5	19	seaRM	seaRM	25	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	53	seaRM	91	1	9	vanNH	vanNH	72	G	TRUE	TRUE	vanNH	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	54	vanNH	92	1	5	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
2014-05-10_seaRM-at-vanNH	4	55	seaRM	93	1	7	vanNH	vanNH	89	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-05-17_vanNH-at-sfoDF	1	1	sfoDF	10	10	30	sfoDF	sfoDF	21	LG	TRUE	TRUE	sfoDF	d_line	G	G
2014-05-17_vanNH-at-sfoDF	1	2	sfoDF	12	2	12	sfoDF	sfoDF	6	G	TRUE	TRUE	sfoDF	d_line	G	G
2014-05-17_vanNH-at-sfoDF	1	3	sfoDF	13	1	19	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	o_line	G	G
2014-05-17_vanNH-at-sfoDF	1	4	vanNH	15	2	10	vanNH	vanNH	31	G	FALSE	TRUE	vanNH	d_line	G	G
2014-05-17_vanNH-at-sfoDF	1	5	vanNH	20	5	16	sfoDF	sfoDF	21	G	FALSE	TRUE	sfoDF	o_line	G	G
