game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	6	pdxST	pdxST	2	L
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	7	pdxST	pdxST	7	A
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	8	pdxST	pdxST	42	G
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	1	vanNH	pdxST	88	P
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	2	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	3	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	4	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	5	vanNH	vanNH	10	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	6	vanNH	vanNH	22	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	7	vanNH	pdxST	21	D
2014-04-12_vanNH-at-pdxST	1	13	pdxST	17	2	8	pdxST	pdxST	88	PU
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	9	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	10	vanNH	vanNH	21	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	11	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	12	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	13	vanNH	vanNH	22	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	14	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	15	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	16	vanNH	vanNH	10	TD
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	17	pdxST	pdxST	88	TO
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	18	pdxST	pdxST	24	PU
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	19	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	20	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	21	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	22	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	23	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	24	pdxST	vanNH	91	D
2014-04-12_vanNH-at-pdxST	1	13	pdxST	20	5	25	vanNH	vanNH	91	A
2014-04-12_vanNH-at-pdxST	1	13	pdxST	20	5	26	vanNH	vanNH	33	G
2014-04-12_vanNH-at-pdxST	1	14	vanNH	21	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	1	14	vanNH	21	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	1	14	vanNH	21	1	3	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	1	14	vanNH	21	1	4	pdxST	pdxST	24	TD
2014-04-12_vanNH-at-pdxST	1	14	vanNH	22	2	5	vanNH	vanNH	18	VTT
2014-04-12_vanNH-at-pdxST	1	14	vanNH	23	3	6	pdxST	pdxST	11	PUA
2014-04-12_vanNH-at-pdxST	1	14	vanNH	23	3	7	pdxST	pdxST	13	LG
2014-04-12_vanNH-at-pdxST	1	15	pdxST	24	1	1	vanNH	pdxST	6	P
2014-04-12_vanNH-at-pdxST	1	15	pdxST	24	1	2	vanNH	vanNH	89	PU
2014-04-12_vanNH-at-pdxST	1	15	pdxST	24	1	3	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	1	15	pdxST	24	1	4	vanNH	vanNH	22	F
2014-04-12_vanNH-at-pdxST	1	15	pdxST	25	2	5	pdxST	pdxST	88	PU
2014-04-12_vanNH-at-pdxST	1	15	pdxST	25	2	6	pdxST	pdxST	8	LA
2014-04-12_vanNH-at-pdxST	1	15	pdxST	25	2	7	pdxST	pdxST	6	G
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	1	vanNH	pdxST	6	P
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	2	vanNH	vanNH	89	PU
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	3	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	4	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	5	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	6	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	7	vanNH	vanNH	72	TD
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	8	pdxST	pdxST	88	PU
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	9	pdxST	pdxST	21	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	10	pdxST	pdxST	88	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	11	pdxST	pdxST	8	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	12	pdxST	pdxST	21	
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	13	pdxST	pdxST	88	A
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	14	pdxST	pdxST	4	G
2014-04-12_vanNH-at-pdxST	1	17	pdxST	28	1	1	vanNH	pdxST	42	P
2014-04-12_vanNH-at-pdxST	1	17	pdxST	28	1	2	vanNH	vanNH	5	PU
2014-04-12_vanNH-at-pdxST	1	17	pdxST	28	1	3	vanNH	vanNH	8	L
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	1	vanNH	pdxST	6	P
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	2	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	3	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	4	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	5	vanNH	vanNH	22	
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	6	vanNH	vanNH	21	A
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	7	vanNH	vanNH	98	LG
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	4	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	5	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	6	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	7	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	8	pdxST	pdxST	2	TD
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	9	vanNH	vanNH	18	PU
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	10	vanNH	vanNH	45	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	11	vanNH	vanNH	81	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	12	vanNH	vanNH	8	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	13	vanNH	vanNH	18	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	14	vanNH	vanNH	27	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	15	vanNH	vanNH	81	
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	16	vanNH	vanNH	8	A
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	17	vanNH	vanNH	18	G
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	1	pdxST	vanNH	33	P
