point	event	oTeam	dTeam	oNum	oCode	dNum	dCode	scTeam
43	23	vanNH	seaRM	27	A			vanNH
43	24	vanNH	seaRM	24	G			vanNH
44	1	seaRM	vanNH			8	P	seaRM
44	2	seaRM	vanNH	1				seaRM
44	3	seaRM	vanNH	20				seaRM
44	4	seaRM	vanNH	14				seaRM
44	5	seaRM	vanNH	1				seaRM
44	6	seaRM	vanNH	14				seaRM
44	7	seaRM	vanNH	9				seaRM
44	8	seaRM	vanNH	6				seaRM
44	9	seaRM	vanNH	1				seaRM
44	10	seaRM	vanNH	14	A			seaRM
44	11	seaRM	vanNH	20	LG			seaRM
45	1	vanNH	seaRM			29	P	vanNH
45	2	vanNH	seaRM	89				vanNH
45	3	vanNH	seaRM	19				vanNH
45	4	vanNH	seaRM	21	A			vanNH
45	5	vanNH	seaRM	91	LG			vanNH
46	1	seaRM	vanNH			8	P	seaRM
46	2	seaRM	vanNH	00				seaRM
46	3	seaRM	vanNH	20				seaRM
46	4	seaRM	vanNH	9				seaRM
46	5	seaRM	vanNH	00				seaRM
46	6	seaRM	vanNH	9				seaRM
46	7	seaRM	vanNH	6				seaRM
46	8	seaRM	vanNH	9	A			seaRM
46	9	seaRM	vanNH	48	G			seaRM
47	1	vanNH	seaRM			24	P	vanNH
47	2	vanNH	seaRM	89				vanNH
47	3	vanNH	seaRM	91				vanNH
47	4	vanNH	seaRM	19				vanNH
47	5	vanNH	seaRM	21				vanNH
47	6	vanNH	seaRM	22				vanNH
47	7	vanNH	seaRM	10				vanNH
47	8	vanNH	seaRM	89				vanNH
47	9	vanNH	seaRM	91				vanNH
47	10	vanNH	seaRM			23	SO	vanNH
47	11	vanNH	seaRM			7	SI	vanNH
47	12	vanNH	seaRM	98				vanNH
47	13	vanNH	seaRM	91	A			vanNH
47	14	vanNH	seaRM	89	G			vanNH
48	1	seaRM	vanNH			8	P	NA
48	2	seaRM	vanNH	00				NA
48	3	seaRM	vanNH	20				NA
48	4	seaRM	vanNH	9				NA
48	5	seaRM	vanNH	00				NA
48	6	seaRM	vanNH	1				NA
48	7	seaRM	vanNH	6				NA
48	8	seaRM	vanNH	9				NA
48	9	seaRM	vanNH			8	D	NA
48	10	seaRM	vanNH			31	PU	NA
48	11	seaRM	vanNH	6	D			NA
49	1	seaRM	vanNH			8	P	seaRM
49	2	seaRM	vanNH	1				seaRM
