period	point	event	pl_team	pl_pnum	pl_code
2	19	11	seaRM	0	D
2	19	12	seaRM	3	PU
2	19	13	seaRM	0	
2	19	14	seaRM	3	
2	19	15	seaRM	9	
2	19	16	seaRM	3	
2	19	17	seaRM	48	
2	19	18	seaRM	3	A
2	19	19	seaRM	48	G
2	20	1	seaRM	35	P
2	20	2	vanNH	91	PU
2	20	3	vanNH	89	
2	20	4	vanNH	5	
2	20	5	vanNH	91	
2	20	6	vanNH	5	
2	20	7	vanNH	91	
2	20	8	vanNH	98	
2	20	9	vanNH	22	
2	20	10	vanNH	98	
2	20	11	vanNH	22	
2	20	12	vanNH	89	
2	20	13	seaRM	13	PU
2	20	14	vanNH	89	D
2	20	15	vanNH	89	A
2	20	16	vanNH	98	LG
3	21	1	seaRM	35	P
3	21	2	vanNH	19	PU
3	21	3	vanNH	89	
3	21	4	vanNH	19	
3	21	5	vanNH	89	
3	21	6	vanNH	91	
3	21	7	vanNH	19	
3	21	8	vanNH	91	
3	21	9	vanNH	22	
3	21	10	vanNH	91	
3	21	11	seaRM	9	D
3	21	12	seaRM	9	
3	21	13	seaRM	29	
3	21	14	seaRM	21	A
3	21	15	seaRM	23	G
3	22	1	seaRM	20	P
3	22	2	vanNH	91	PUA
3	22	3	vanNH	89	LG
3	23	1	vanNH	8	P
3	23	2	seaRM	25	PU
3	23	3	seaRM	20	
3	23	4	seaRM	3	
3	23	5	seaRM	6	
3	23	6	seaRM	25	
3	23	7	seaRM	3	
3	23	8	seaRM	25	
3	23	9	seaRM	17	
3	23	10	seaRM	3	
3	23	11	seaRM	17	
3	23	12	seaRM	20	
3	23	13	seaRM	48	
3	23	14	vanNH	18	F
3	23	15	seaRM	3	A
3	23	16	seaRM	99	G
3	24	1	seaRM	35	P
3	24	2	vanNH	91	PU
3	24	3	vanNH	89	
3	24	4	vanNH	72	
3	24	5	vanNH	91	
3	24	6	vanNH	5	
3	24	7	vanNH	98	
3	24	8	vanNH	5	
3	24	9	vanNH	91	
3	24	10	vanNH	89	
3	24	11	vanNH	91	
3	24	12	vanNH	5	A
3	24	13	vanNH	98	LG
3	25	1	vanNH	8	P
3	25	2	seaRM	20	PU
3	25	3	seaRM	3	
3	25	4	seaRM	20	
3	25	5	seaRM	6	
3	25	6	seaRM	3	
3	25	7	seaRM	17	
3	25	8	vanNH	33	PU
3	25	9	seaRM	17	D
3	25	10	seaRM	3	PU
3	25	11	seaRM	6	
3	25	12	seaRM	3	
3	25	13	seaRM	17	
3	25	14	seaRM	3	
3	25	15	seaRM	20	
3	25	16	vanNH	91	PU
3	25	17	vanNH	21	
3	25	18	vanNH	91	
3	25	19	vanNH	98	
3	25	20	vanNH	19	
3	25	21	vanNH	21	
3	25	22	vanNH	5	
3	25	23	vanNH	89	
3	25	24	vanNH	5	
3	25	25	seaRM	13	F
3	25	26	vanNH	98	
3	25	27	vanNH	91	A
3	25	28	vanNH	21	G
3	26	1	vanNH	8	P
3	26	2	seaRM	3	PU
3	26	3	seaRM	20	
3	26	4	seaRM	99	
3	26	5	seaRM	5	
3	26	6	seaRM	20	
3	26	7	seaRM	3	A
3	26	8	seaRM	6	LG
3	27	1	seaRM	35	P
3	27	2	vanNH	5	PU
3	27	3	vanNH	91	
3	27	4	vanNH	21	
3	27	5	vanNH	91	
3	27	6	vanNH	5	
3	27	7	vanNH	19	
3	27	8	seaRM	2	D
3	27	9	seaRM	29	PU
3	27	10	seaRM	35	
3	27	11	vanNH	5	PU
3	27	12	vanNH	22	
3	27	13	vanNH	91	
3	27	14	seaRM	9	D
3	27	15	seaRM	35	PU
3	27	16	seaRM	2	
3	27	17	seaRM	32	
3	27	18	seaRM	28	
3	27	19	seaRM	21	A
3	27	20	seaRM	24	G
3	28	1	seaRM	35	P
3	28	2	vanNH	91	PU
3	28	3	vanNH	8	
3	28	4	seaRM	9	F
3	28	5	vanNH	91	
3	28	6	seaRM	35	TO
3	28	7	seaRM	3	PU
3	28	8	seaRM	17	
3	28	9	seaRM	3	
3	28	10	seaRM	6	
3	28	11	vanNH	27	F
3	28	12	seaRM	3	
3	28	13	seaRM	6	
3	28	14	seaRM	99	
3	28	15	seaRM	3	
3	28	16	seaRM	99	
3	28	17	seaRM	48	L
4	29	1	seaRM	35	P
4	29	2	vanNH	19	PU
4	29	3	vanNH	5	
4	29	4	vanNH	19	
4	29	5	vanNH	91	
4	29	6	vanNH	5	
4	29	7	vanNH	89	
4	29	8	vanNH	5	
4	29	9	vanNH	21	
4	29	10	vanNH	5	
4	29	11	vanNH	19	
4	29	12	vanNH	5	
4	29	13	vanNH	89	
4	29	14	vanNH	22	
4	29	15	vanNH	89	
4	29	16	vanNH	98	
4	29	17	vanNH	89	
4	29	18	vanNH	22	
4	29	19	seaRM	29	PU
4	29	20	seaRM	35	
4	29	21	seaRM	21	LA
4	29	22	seaRM	9	G
4	30	1	seaRM	29	P
4	30	2	vanNH	89	PU
4	30	3	vanNH	18	A
4	30	4	vanNH	8	LG
4	31	1	vanNH	8	P
4	31	2	seaRM	25	PU
4	31	3	seaRM	3	
4	31	4	seaRM	99	
