game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code	score	scor_team	who	a_code	b_code
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	20	1	6	vanNH	vanNH	72	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	21	2	11	sfoDF	vanNH	22	D	FALSE	NA	d_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	22	3	13	vanNH	vanNH	21	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	23	4	24	sfoDF	sfoDF	24	G	TRUE	sfoDF	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	24	1	6	vanNH	vanNH	10	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	25	2	9	sfoDF	vanNH	10	D	FALSE	NA	d_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	26	3	15	vanNH	vanNH	19	LG	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	9	vanNH	27	1	4	sfoDF	vanNH	13	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	9	vanNH	28	2	5	vanNH	vanNH	11	eop	FALSE	NA	d_line	eop	eop
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	29	1	4	vanNH	vanNH	91	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	30	2	6	sfoDF	sfoDF	7	VTT	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	31	3	8	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	11	vanNH	32	1	7	sfoDF	vanNH	8	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	2	11	vanNH	33	2	21	vanNH	vanNH	27	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	34	1	3	sfoDF	vanNH	4	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	35	2	11	vanNH	vanNH	14	TD	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	36	3	29	sfoDF	sfoDF	17	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	37	4	39	vanNH	vanNH	98	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	13	vanNH	38	1	18	sfoDF	sfoDF	34	VST	FALSE	NA	o_line	VST	off -
2014-04-20_sfoDF-at-vanNH	2	13	vanNH	39	2	23	vanNH	vanNH	27	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	40	1	8	sfoDF	vanNH	18	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	41	2	10	vanNH	vanNH	11	TA	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	42	3	12	sfoDF	sfoDF	11	off F	FALSE	NA	o_line	off F	off -
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	43	4	18	vanNH	vanNH	39	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	15	vanNH	44	1	6	sfoDF	sfoDF	34	LG	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	16	sfoDF	45	1	10	vanNH	vanNH	89	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	17	vanNH	46	1	8	sfoDF	vanNH	8	eop	FALSE	NA	o_line	eop	eop
2014-04-20_sfoDF-at-vanNH	3	18	vanNH	47	1	4	sfoDF	sfoDF	57	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	18	vanNH	48	2	8	vanNH	vanNH	81	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	49	1	6	sfoDF	vanNH	13	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	50	2	9	vanNH	vanNH	37	VTT	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	51	3	11	sfoDF	sfoDF	37	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	20	sfoDF	52	1	10	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	53	1	10	sfoDF	sfoDF	21	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	54	2	12	vanNH	vanNH	45	VTT	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	55	3	14	sfoDF	sfoDF	21	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	56	1	4	vanNH	vanNH	5	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	57	2	7	sfoDF	sfoDF	46	VTT	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	58	3	12	vanNH	vanNH	22	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	59	4	14	sfoDF	sfoDF	16	VST	FALSE	NA	d_line	VST	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	60	5	19	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	23	vanNH	61	1	6	sfoDF	sfoDF	57	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	24	sfoDF	62	1	9	vanNH	vanNH	72	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	25	vanNH	63	1	14	sfoDF	sfoDF	83	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	26	sfoDF	64	1	5	vanNH	vanNH	98	LG	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	27	vanNH	65	1	3	sfoDF	sfoDF	83	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	27	vanNH	66	2	8	vanNH	vanNH	33	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	28	vanNH	67	1	6	sfoDF	sfoDF	46	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	3	28	vanNH	68	2	13	vanNH	vanNH	45	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	29	vanNH	69	1	10	sfoDF	sfoDF	34	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	70	1	3	vanNH	vanNH	5	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	71	2	14	sfoDF	sfoDF	17	TA	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	72	3	16	vanNH	sfoDF	18	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	73	4	18	sfoDF	sfoDF	37	G	TRUE	sfoDF	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	31	sfoDF	74	1	5	vanNH	vanNH	8	eop	FALSE	NA	o_line	eop	eop
2014-04-20_sfoDF-at-vanNH	4	32	sfoDF	75	1	13	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	76	1	5	sfoDF	vanNH	39	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	77	2	9	vanNH	vanNH	8	TD	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	78	3	12	sfoDF	sfoDF	83	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	34	sfoDF	79	1	10	vanNH	vanNH	10	LG	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	80	1	7	sfoDF	vanNH	11	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	81	2	10	vanNH	vanNH	11	VST	FALSE	NA	d_line	VST	off -
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	82	3	15	sfoDF	sfoDF	34	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	36	sfoDF	83	1	6	vanNH	vanNH	72	LG	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	37	vanNH	84	1	10	sfoDF	sfoDF	88	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	38	sfoDF	85	1	9	vanNH	vanNH	10	LG	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	39	vanNH	86	1	3	sfoDF	vanNH	14	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	39	vanNH	87	2	6	vanNH	vanNH	14	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	40	vanNH	88	1	11	sfoDF	sfoDF	88	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	41	sfoDF	89	1	5	vanNH	vanNH	98	LG	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	42	vanNH	90	1	6	sfoDF	sfoDF	88	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	42	vanNH	91	2	23	vanNH	vanNH	18	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	92	1	6	sfoDF	vanNH	39	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	93	2	11	vanNH	vanNH	45	TD	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	94	3	14	sfoDF	sfoDF	46	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	95	4	16	vanNH	vanNH	27	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	44	vanNH	96	1	11	sfoDF	sfoDF	21	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	97	1	4	vanNH	vanNH	19	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	98	2	12	sfoDF	sfoDF	25	TA	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	99	3	15	vanNH	vanNH	19	eop	FALSE	NA	o_line	eop	eop
