period	point	event	pl_team	pl_player	pl_code
4	51	6	vanNH	10	
4	51	7	vanNH	22	
4	51	8	vanNH	5	
4	51	9	vanNH	91	A
4	51	10	vanNH	22	G
4	52	1	vanNH	33	P
4	52	2	seaRM	17	PU
4	52	3	seaRM	1	
4	52	4	seaRM	99	
4	52	5	seaRM	6	
4	52	6	vanNH	18	PU
4	52	7	vanNH	18	VTT
4	52	8	seaRM	1	PU
4	52	9	seaRM	17	
4	52	10	seaRM	14	
4	52	11	seaRM	6	
4	52	12	seaRM	14	
4	52	13	vanNH	81	PU
4	52	14	vanNH	7	TD
4	52	15	seaRM	6	PU
4	52	16	seaRM	1	
4	52	17	seaRM	14	
4	52	18	seaRM	99	A
4	52	19	seaRM	25	G
4	53	1	seaRM	18	P
4	53	2	vanNH	19	PU
4	53	3	vanNH	89	
4	53	4	vanNH	10	
4	53	5	vanNH	21	
4	53	6	vanNH	19	
4	53	7	vanNH	5	
4	53	8	vanNH	10	LA
4	53	9	vanNH	72	G
4	54	1	vanNH	33	P
4	54	2	seaRM	14	PU
4	54	3	seaRM	1	
4	54	4	seaRM	99	A
4	54	5	seaRM	48	G
4	55	1	seaRM	4	P
4	55	2	vanNH	19	PU
4	55	3	vanNH	91	
4	55	4	vanNH	21	
4	55	5	vanNH	89	
4	55	6	vanNH	91	
4	55	7	vanNH	89	
