period	point	event	pl_team	pl_player	pl_code
2	12	21	pdxST	11	
2	12	22	pdxST	73	
2	12	23	pdxST	11	
2	12	24	pdxST	73	
2	12	25	pdxST	9	TD
2	12	26	vanNH	45	PU
2	12	27	vanNH	27	
2	12	28	vanNH	39	
2	12	29	pdxST	11	PUA
2	12	30	pdxST	9	G
2	13	1	pdxST	8	P
2	13	2	vanNH	19	PU
2	13	3	vanNH	89	
2	13	4	vanNH	22	
2	13	5	vanNH	?	F
2	13	6	pdxST	5	PU
2	13	7	pdxST	88	
2	13	8	pdxST	14	
2	13	9	pdxST	22	
2	13	10	pdxST	5	
2	13	11	pdxST	22	
2	13	12	pdxST	8	
2	13	13	pdxST	25	A
2	13	14	pdxST	20	G
2	14	1	pdxST	88	P
2	14	2	vanNH	75	PU
2	14	3	vanNH	5	
2	14	4	vanNH	33	
2	14	5	vanNH	5	
2	14	6	vanNH	98	
2	14	7	pdxST	88	D
2	14	8	pdxST	88	PU
2	14	9	pdxST	7	
2	14	10	pdxST	25	
2	14	11	pdxST	7	
2	14	12	pdxST	88	VST
2	14	13	vanNH	5	PU
2	14	14	pdxST	88	PU
2	14	15	vanNH	89	PU
2	14	16	vanNH	75	
2	14	17	vanNH	33	
2	14	18	vanNH	75	
2	14	19	vanNH	5	
2	14	20	vanNH	13	
2	14	21	vanNH	98	
2	14	22	pdxST	22	D
2	14	23	pdxST	22	TO
2	14	24	pdxST	11	PU
2	14	25	pdxST	73	
2	14	26	pdxST	11	
2	14	27	pdxST	9	
2	14	28	pdxST	2	
2	14	29	pdxST	9	
2	14	30	pdxST	11	
2	14	31	pdxST	2	L
2	14	32	pdxST	7	
2	14	33	pdxST	6	
2	14	34	vanNH	45	PU
2	14	35	vanNH	11	
2	14	36	vanNH	37	
2	14	37	vanNH	11	
2	14	38	pdxST	8	D
2	14	39	pdxST	8	PU
2	14	40	pdxST	11	
2	14	41	pdxST	7	
2	14	42	pdxST	2	
2	14	43	pdxST	73	A
2	14	44	pdxST	7	LG
2	15	1	pdxST	88	P
2	15	2	vanNH	91	PU
2	15	3	vanNH	19	
2	15	4	vanNH	91	
2	15	5	vanNH	98	
2	15	6	pdxST	16	F
2	15	7	vanNH	10	F
2	15	8	pdxST	25	PU
2	15	9	pdxST	22	
2	15	10	pdxST	88	
2	15	11	pdxST	5	
2	15	12	pdxST	25	
2	15	13	pdxST	16	
2	15	14	pdxST	22	
2	15	15	pdxST	88	
2	15	16	pdxST	25	A
2	15	17	pdxST	5	G
2	16	1	pdxST	88	P
2	16	2	vanNH	89	PU
2	16	3	vanNH	91	
2	16	4	vanNH	21	
2	16	5	vanNH	8	
2	16	6	vanNH	91	
2	16	7	vanNH	13	
2	16	8	vanNH	89	
2	16	9	vanNH	19	
2	16	10	vanNH	91	
2	16	11	vanNH	21	
2	16	12	vanNH	8	
2	16	13	vanNH	21	
2	16	14	vanNH	8	
2	16	15	vanNH	72	
2	16	16	vanNH	19	
2	16	17	vanNH	91	
2	16	18	vanNH	13	TD
2	16	19	pdxST	8	PU
2	16	20	pdxST	15	
2	16	21	pdxST	16	L
2	16	22	vanNH	8	D
3	17	1	vanNH	8	P
3	17	2	pdxST	9	PUA
3	17	3	pdxST	2	LG
3	18	1	pdxST	88	OBP
3	18	2	vanNH	89	PU
3	18	3	vanNH	22	
3	18	4	vanNH	21	
3	18	5	vanNH	98	
3	18	6	vanNH	72	
3	18	7	vanNH	91	
3	18	8	vanNH	89	
3	18	9	vanNH	91	
3	18	10	vanNH	98	A
3	18	11	vanNH	22	G
3	19	1	vanNH	81	P
3	19	2	pdxST	42	PU
3	19	3	pdxST	9	
3	19	4	pdxST	11	
3	19	5	pdxST	2	
3	19	6	pdxST	42	
3	19	7	pdxST	9	
3	19	8	pdxST	42	
3	19	9	pdxST	9	
3	19	10	pdxST	11	
3	19	11	pdxST	8	L
3	19	12	pdxST	42	
3	19	13	pdxST	8	A
3	19	14	pdxST	6	G
3	20	1	pdxST	7	P
3	20	2	vanNH	91	PU
3	20	3	vanNH	89	
3	20	4	vanNH	91	
3	20	5	vanNH	98	
3	20	6	vanNH	91	
3	20	7	vanNH	22	
3	20	8	vanNH	89	
3	20	9	vanNH	91	
3	20	10	pdxST	25	D
3	20	11	pdxST	7	PU
3	20	12	pdxST	15	
3	20	13	pdxST	17	
3	20	14	pdxST	22	
3	20	15	pdxST	15	
3	20	16	pdxST	4	
3	20	17	pdxST	5	
3	20	18	pdxST	15	A
3	20	19	pdxST	17	G
3	21	1	pdxST	7	P
3	21	2	vanNH	19	PU
3	21	3	vanNH	89	
3	21	4	vanNH	98	
3	21	5	vanNH	21	
3	21	6	vanNH	22	
3	21	7	vanNH	72	
3	21	8	vanNH	22	
3	21	9	vanNH	19	
3	21	10	vanNH	91	
3	21	11	vanNH	21	
3	21	12	vanNH	19	
3	21	13	vanNH	89	
3	21	14	vanNH	21	
3	21	15	vanNH	89	
3	21	16	vanNH	91	A
3	21	17	vanNH	19	G
3	22	1	vanNH	18	P
3	22	2	pdxST	11	PU
3	22	3	pdxST	9	
3	22	4	pdxST	11	
3	22	5	pdxST	9	
3	22	6	pdxST	11	
3	22	7	pdxST	6	
3	22	8	pdxST	11	
3	22	9	pdxST	6	
3	22	10	pdxST	11	
3	22	11	vanNH	24	PUA
3	22	12	pdxST	9	F
3	22	13	vanNH	39	G
3	23	1	vanNH	8	P
3	23	2	pdxST	73	PU
3	23	3	pdxST	9	
3	23	4	pdxST	16	
3	23	5	pdxST	73	
3	23	6	pdxST	2	L
3	23	7	vanNH	39	F
3	23	8	pdxST	7	
3	23	9	pdxST	8	
3	23	10	pdxST	11	
3	23	11	pdxST	7	
3	23	12	pdxST	8	
3	23	13	pdxST	11	
3	23	14	pdxST	7	
3	23	15	pdxST	8	
3	23	16	pdxST	7	
3	23	17	pdxST	8	
3	23	18	pdxST	6	A
3	23	19	vanNH	18	F
3	23	20	pdxST	16	G
3	24	1	pdxST	7	P
3	24	2	vanNH	89	PU
3	24	3	vanNH	19	
3	24	4	vanNH	89	
3	24	5	vanNH	91	
3	24	6	vanNH	19	
3	24	7	vanNH	98	
3	24	8	vanNH	21	
3	24	9	vanNH	10	A
3	24	10	vanNH	91	G
3	25	1	vanNH	81	P
3	25	2	pdxST	42	PU
3	25	3	pdxST	11	
3	25	4	pdxST	73	
3	25	5	pdxST	11	
3	25	6	vanNH	8	PUA
3	25	7	vanNH	45	G
3	26	1	vanNH	81	P
3	26	2	pdxST	42	PU
3	26	3	pdxST	7	
3	26	4	pdxST	73	
3	26	5	pdxST	7	
3	26	6	pdxST	6	
3	26	7	pdxST	73	
3	26	8	pdxST	2	
3	26	9	pdxST	6	
3	26	10	pdxST	7	
3	26	11	pdxST	8	
3	26	12	pdxST	2	
3	26	13	pdxST	73	
3	26	14	pdxST	8	
3	26	15	pdxST	7	A
3	26	16	pdxST	42	G
3	27	1	pdxST	88	P
3	27	2	vanNH	19	PU
3	27	3	vanNH	89	
3	27	4	vanNH	10	
3	27	5	vanNH	21	
3	27	6	vanNH	98	
3	27	7	vanNH	21	
3	27	8	vanNH	89	
3	27	9	vanNH	10	
3	27	10	vanNH	89	
3	27	11	vanNH	91	
3	27	12	vanNH	98	A
3	27	13	vanNH	10	G
3	28	1	vanNH	18	P
3	28	2	pdxST	73	PU
3	28	3	pdxST	9	
3	28	4	pdxST	42	
3	28	5	pdxST	9	
3	28	6	pdxST	73	
3	28	7	pdxST	9	
3	28	8	vanNH	24	F
3	28	9	pdxST	73	
3	28	10	pdxST	6	
3	28	11	pdxST	73	
3	28	12	pdxST	42	L
3	28	13	pdxST	16	TO
3	28	14	pdxST	7	PUA
3	28	15	pdxST	42	G
3	29	1	pdxST	88	P
3	29	2	vanNH	89	PU
3	29	3	vanNH	19	VST
3	29	4	pdxST	8	PU
3	29	5	pdxST	88	
3	29	6	vanNH	89	D
3	29	7	vanNH	89	PU
3	29	8	vanNH	22	
3	29	9	vanNH	91	TT
3	29	10	pdxST	17	PU
4	30	1	pdxST	88	P
4	30	2	vanNH	19	PU
4	30	3	vanNH	91	
